INFO:root:{'id': 'MLA843116615', 'title': 'Monitor Dell P2419h Led 24  Negro 100v/240v', 'category_id': 'MLA14407', 'name': 'Monitores'}
INFO:root:{'id': 'MLA663208480', 'title': 'Notebook Laptop Dell Inspiron I5 16g 256ssd Ubuntu Ram', 'category_id': 'MLA1652', 'name': 'Notebooks'}
INFO:root:{'id': 'MLA838441150', 'title': 'Servidor Poweredge Dell T40 Xeon E3-2224 16gb 1tb Hd Gtia', 'category_id': 'MLA1649', 'name': 'PC'}
INFO:root:{'id': 'MLA619999038', 'title': 'Ups Apc 550va 3 Tomas Gtia Oficial 2 Años Estabilizador Y Protector De Tension Con Ahorro De Energia', 'category_id': 'MLA1720', 'name': 'UPS'}
INFO:root:{'id': 'MLA763012088', 'title': 'Monitor Dell 24 Profesional P2419h 1080 60hz Vertical', 'category_id': 'MLA14407', 'name': 'Monitores'}
INFO:root:{'id': 'MLA870125549', 'title': 'Notebook Laptop Dell Inspiron I5 16g 256ssd + 1tb Ubuntu Ram', 'category_id': 'MLA1652', 'name': 'Notebooks'}
INFO:root:{'id': 'MLA896723362', 'title': 'Servidor Poweredge Dell T40 Xeon E3-2224 32gb 2tb Hd Gtia', 'category_id': 'MLA1649', 'name': 'PC'}
INFO:root:{'id': 'MLA614270244', 'title': 'Ups Apc 1000va Para Pc Gamer Simil Bx1100 Bv1000i-ar Estabilizador Y Protector De Tension Gtia Oficial 2 Años', 'category_id': 'MLA1720', 'name': 'UPS'}
INFO:root:{'id': 'MLA869670211', 'title': 'Cable Candado Seguridad Dell Noble Tz04t Lock Low Profile ', 'category_id': 'MLA82335', 'name': 'Otros'}
INFO:root:{'id': 'MLA663213659', 'title': 'Notebook Laptop Dell Vostro I5 8gb 1tb 14 Win 10pro Teclado Con Ñ Gtia De Tienda Oficial - Factura A / B', 'category_id': 'MLA1652', 'name': 'Notebooks'}
INFO:root:{'id': 'MLA609550688', 'title': 'Ups Apc Easy 500va Estabilizador Y Protector De Tension Con Ahorro De Energia Gtia Oficial 2 Años', 'category_id': 'MLA1720', 'name': 'UPS'}
INFO:root:{'id': 'MLA740540307', 'title': 'Servidor Poweredge Dell T40 Xeon E3-1225 8gb 1tb Hd Free Dos', 'category_id': 'MLA1649', 'name': 'PC'}
INFO:root:{'id': 'MLA685442693', 'title': 'Switch Cisco 24 Puertos Gigabit Rack 10/100/1000', 'category_id': 'MLA1708', 'name': 'Switches'}
INFO:root:{'id': 'MLA870125306', 'title': 'Notebook Laptop Dell Inspiron I5 32g 256ssd + 480ssd Ubuntu', 'category_id': 'MLA1652', 'name': 'Notebooks'}
INFO:root:{'id': 'MLA701423768', 'title': 'Switch Cisco 8 Puertos Port 10/100/1000 Giga Sg100 Oferta Para Hogar Y Empresa - Garantia Oficial - Factura A Y B', 'category_id': 'MLA1708', 'name': 'Switches'}
